POINT_TYPE,AveTree,AvePFG,AveAFG,AveShrub,AveLit,AveBG,AveTemp,AvePrecip,AveCrop,DensOil,DensWind,DensRoadway,DistHighway,DistWind,DistTrans,DistRoadway,DistOil,Ruggedness,VarPFG,VarShrub,VarBG,VarAFG,VarLit
LEK,2.183417559,77.38261414,4.980621338,2.558376312,5.242578983,4.969196796,25.81054878,564.3921509,0.089577667,2,0,2646,3747.852295,17183.66406,2987.855225,516.6491089,1779.702026,15.82756424,14.03452492,1.852241755,5.4891119,5.951081753,2.502436876
LEK,2.398710012,75.04511261,6.734281063,2.800851822,4.875189304,5.249602795,25.75569534,549.0880127,0.126614437,12,0,2511.346436,3671.22168,9252.078125,1920.666016,462.4723511,1281.244019,11.24081135,16.25322914,1.77852881,6.685613632,6.752522469,2.580344677
LEK,2.313540697,75.4590683,6.644344807,2.7810781,4.783212662,5.095709801,25.75412178,548.0124512,0.122308783,13,0,2512.881348,3531.032471,8521.5625,1286.989502,252.2930908,831.0072021,10.92243481,16.07616806,1.765336394,6.571475506,6.700131893,2.539234877
LEK,2.600744724,65.10753632,9.376961708,4.235244751,5.828166485,6.657301426,26.00105476,481.023468,0.077802621,14,0,1949.666138,2802.991211,8736.393555,2824.881104,384.8517456,988.7233276,17.14527702,15.63923073,2.857882738,6.713117599,7.986632347,3.64699626
LEK,3.433377504,65.66674042,9.782394409,3.72328949,7.041578293,7.123522758,26.22889137,573.2722778,0.220230475,0,0,2539.018311,3399.770996,28872.98633,1765.550781,98.82959747,5065.681641,17.49568939,21.16796875,3.439643145,8.496805191,8.388644218,4.436938286
LEK,2.300574541,75.81427765,6.40055275,2.757073164,4.795793056,5.107923508,25.7643013,549.039856,0.106625833,10,0,2369.494141,2666.192139,9421.703125,1306.052856,542.557373,1937.874878,12.43016434,15.65621376,1.726583004,6.413053513,6.508045197,2.494338512
LEK,2.02180481,77.95606995,5.08793354,2.389476538,5.030483246,4.888607025,25.80531693,563.3981934,0.088065282,2,0,2561.672119,2285.79126,17235.70313,1521.089844,654.2237549,2576.987061,14.3067894,14.27494335,1.753684759,5.732163906,5.936487198,2.555894375
LEK,3.462422371,65.56710052,9.752851486,3.610128641,7.122337818,7.326272011,26.23090935,572.4505615,0.234059215,0,0,2481.482666,2720.697021,28935.26953,1086.492798,172.8953094,5568.540527,17.33816338,21.59872818,3.270604372,8.6804142,8.456374168,4.602200508
LEK,2.864479542,66.75149536,9.151082039,3.619286776,7.075484276,7.431468964,26.19235611,572.1400146,0.231097192,0,0,2261.724609,1730.879028,30439.60547,625.3235474,209.5149078,5789.334473,17.0369339,21.80298233,3.947578669,9.084895134,7.874565601,4.831861973
LEK,3.992073536,66.58298492,9.212772369,4.456884384,6.233721733,5.295967102,26.14795303,566.6332397,0.092659153,2,0,1786.989746,2087.625,31181.56445,2824.881104,1148.317139,3482.81958,19.43997192,16.25097656,4.591561794,5.275823593,8.060896873,2.540848255
