POINT_C,POINT_TYPE,AveTree,AvePFG,AveAFG,AveBG,AveShrub,AveLit,DensOil,DensRoadway,DensWind,DistHighway,DistOil,DistRoadway,DistWind,Ruggedness,VarAFG,VarPFG,VarBG,VarTree,VarLit,VarShrub,AvePrecip,AveTemp,AveCrop,AveElev,DistTrans,Data_set,Stable_lek,PT_Type
LEK,LEK,2.213468313,75.32957458,6.833498001,5.181442738,2.701672792,4.861066341,13,2614.239014,0,4.404651855,0.708306641,0.290982697,8.000761719,10.40052986,6.944160938,16.93370247,6.9495821,3.143984079,2.836256981,1.71393764,547.696228,25.7455883,0.139944136,841.6196289,1.517447754,A,0,1
LEK,LEK,2.6048913,75.31918335,5.874860287,5.503436565,2.788120747,5.130922318,1,2453.895996,0,3.997117676,4.070452637,0.761175476,13.90011133,13.75420094,6.111113071,15.56156445,6.368392467,3.269873619,2.513979912,1.925134778,558.4350586,25.78085518,0.105236791,824.6109009,3.042179688,A,0,1
LEK,LEK,4.034705162,64.7620163,10.11432648,6.923932552,4.072729588,6.90777874,1,2444.857666,0,4.45909668,4.020206787,0.190870499,28.44464453,17.15865326,8.459188461,20.62044716,8.406277657,6.076787949,4.119558334,4.040094852,574.3173828,26.23600578,0.199227616,727.9667358,1.5184198,A,0,1
LEK,LEK,2.183417559,77.38261414,4.980621338,4.969196796,2.558376312,5.242578983,2,2646,0,3.747852295,1.779702026,0.516649109,17.18366406,15.82756424,5.951081753,14.03452492,5.4891119,3.041464567,2.502436876,1.852241755,564.3921509,25.81054878,0.089577667,815.5825806,2.987855225,A,0,1
LEK,LEK,2.398710012,75.04511261,6.734281063,5.249602795,2.800851822,4.875189304,12,2511.346436,0,3.67122168,1.281244019,0.462472351,9.252078125,11.24081135,6.752522469,16.25322914,6.685613632,3.174233437,2.580344677,1.77852881,549.0880127,25.75569534,0.126614437,837.0692749,1.920666016,A,0,1
LEK,LEK,2.313540697,75.4590683,6.644344807,5.095709801,2.7810781,4.783212662,13,2512.881348,0,3.531032471,0.831007202,0.252293091,8.5215625,10.92243481,6.700131893,16.07616806,6.571475506,3.121533632,2.539234877,1.765336394,548.0124512,25.75412178,0.122308783,838.3234253,1.286989502,A,0,1
LEK,LEK,2.600744724,65.10753632,9.376961708,6.657301426,4.235244751,5.828166485,14,1949.666138,0,2.802991211,0.988723328,0.384851746,8.736393555,17.14527702,7.986632347,15.63923073,6.713117599,3.686966181,3.64699626,2.857882738,481.023468,26.00105476,0.077802621,839.1876221,2.824881104,A,0,1
LEK,LEK,3.433377504,65.66674042,9.782394409,7.123522758,3.72328949,7.041578293,0,2539.018311,0,3.399770996,5.065681641,0.098829597,28.87298633,17.49568939,8.388644218,21.16796875,8.496805191,4.901524067,4.436938286,3.439643145,573.2722778,26.22889137,0.220230475,732.1226196,1.765550781,A,0,1
LEK,LEK,2.300574541,75.81427765,6.40055275,5.107923508,2.757073164,4.795793056,10,2369.494141,0,2.666192139,1.937874878,0.542557373,9.421703125,12.43016434,6.508045197,15.65621376,6.413053513,3.03068924,2.494338512,1.726583004,549.039856,25.7643013,0.106625833,834.0661621,1.306052856,A,0,1
LEK,LEK,2.02180481,77.95606995,5.08793354,4.888607025,2.389476538,5.030483246,2,2561.672119,0,2.28579126,2.576987061,0.654223755,17.23570313,14.3067894,5.936487198,14.27494335,5.732163906,2.932089329,2.555894375,1.753684759,563.3981934,25.80531693,0.088065282,816.6625366,1.521089844,A,0,1
